Filename,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Governing Law,Exclusivity,Post-Termination Services
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,JOINT DEVELOPMENT AGREEMENT,"['FuelCell Energy, Inc.', 'FCE', 'ExxonMobil', 'ExxonMobil Research and Engineering Company']","['November 5, 2019']",10/31/19,[],New York,[],"['Such books, records and accounts will be maintained for a period of at least three (3) years following the termination or expiration of this Agreement, provided there are no pending disputes between the Parties.']"
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,RECIPE DEVELOPMENT AGREEMENT,"['B C Marketing Concepts Inc., dba Full Sail Brewing Company', ""Reed's"", ""Reed's, Inc."", 'Company']","['October 11, 2019']",10-11-2019,[],New York,"['In exchange for Company\'s contributions and obligations under this Agreement, Reed\'s grants Company the exclusive right to manufacture, package, promote, sell and distribute the Products (if and to the extent approved by the Development Committee), subject to the terms and conditions of a separate Manufacturing and Distribution Agreement to be entered into by the parties concurrently with this Agreement, as it may be amended, modified, supplemented or restated from time to time (the ""Manufacturing and Distribution Agreement"").']",[]
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,DISTRIBUTOR AGREEMENT,"['XXXXXXXXXXXXXXXXXXXXX', 'Distributor', 'Company', 'B & C General Warehouse Corporation LLC']",['1 August 2019'],08-01-2019,['Distributor shall have the option to renew this Agreement for an additional Three (3) year period by providing prior written notice to Company within Ninety (90) days of the end of the initial period of this Agreement.'],Florida,"['Subject to the terms and conditions of this Distributor Agreement, Company hereby appoints and grants Distributor the exclusive right to sell and distribute the Products to customers that Distributor introduce and confirmed by Company, (in all territory of United State of America (USA) and to render other services as a distributor for Company as set forth herein.', ""Company shall not sell or otherwise supply, directly or indirectly, the Products to any Distributor's Customer's, except by sale through the Distributor.""]","['In the event that this Agreement is terminated or expires on its own terms, Company shall have no further responsibilities to Distributor except that in the event the Agreement terminates for any reason other than a breach hereof by Distributor, Company shall be obligated to process orders accepted by Company prior to the effective date of such termination or expiration or within Ninety (90) days thereafter.']"
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,"['SUNWAI Technology', 'Distributor', 'iMine Corporation', 'JRVS']",['19th day of July 2018'],7/19/18,[],Indiana,[],[]
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,"['Distributor', 'Hydraspin and Distributor are sometimes hereinafter referred to individually as a ""Party"" and collectively as the ""Parties.""', 'the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"")', 'Hydraspin USA, Inc.', 'WATER NOW, INC.', 'BESTEV MANAGEMENT, LLC', 'Water Now']","['12th day of November, 2019']",11-12-2019,"['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']",Texas,"[""Hydraspin hereby grants to Distributor an exclusive non-transferable and royalty-free right and license to use Hydraspin's Marks in connection with the advertising, promotion, marketing, distribution and sale of the Products in the Territory in accordance with Hydraspin's standards and instructions"", 'Distributor shall be entitled to advertise, promote, market or<omitted>solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor.', 'If this Agreement is extended beyond the Initial Term, as hereinafter defined, the number of Customer Locations to be secured to maintain exclusivity during the pendency of the Agreement shall be increased to 50 from 25.', ""Hydraspin hereby appoints Distributor, and Distributor hereby accepts appointment, as Hydraspin's exclusive distributor of the Products in the Territory during the term of this Agreement, subject to the terms and conditions of this Agreement, including, but not limited to, the satisfaction of the Performance Benchmarks."", 'Hydraspin certifies, stipulates, and agrees that the Hydraspin will deal exclusively with and through the Distributor in relation to the distribution of the Products in the Territory', 'In the event the Distributor loses exclusivity on a territory due to not meeting Performance Benchmarks, the Distributor shall maintain exclusivity on any and all existing Products that are in the field and operating at them time exclusivity if forfeited.']",[]
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"['Eco Science Solutions, Inc.', 'Stephen Marley', 'Talent', 'ESSI']",['14th day of November 2017'],11/14/17,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']",Michigan,[],[]
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,COLLABORATION & ENDORSEMENT AGREEMENT,"['Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".', 'Naked', 'Athlete', 'Wade Enterprises', 'The Naked Brands Group, Inc.', '""Athlete"" and together with Wade Enterprises, collectively ""Wade"")', 'Wade Enterprises, LLC', 'f/s/o Dwyane Wade']","['15th day of June, 2015']",6/15/15,"['In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.', 'The other Party will then have a period of fourteen (14) days from the date of the notice to indicate whether it also desires to extend the Term, on the terms and conditions set forth herein and if no such indication is made, the other Party will be deemed to have declined the offer to extend', 'The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']",New York,"['Notwithstanding the foregoing, Wade agrees that for a period of ninety (90) days prior to the expiration of the Term (unless the Agreement is terminated by Wade as permitted hereunder), Naked shall have the exclusive right to negotiate for continued endorsement by Athlete of the Naked Products.', 'During the Term and subject to the limitations set forth in this Agreement, Naked shall have an exclusive right and license in the Territory to use Athlete\'s name, nickname, initials, autograph, image, likeness, photographs, biographical details, facsimile signature, voice, videos, electronic media depictions, any words, symbols or other depictions, as well as any other identifying attributes that would identify Athlete to the public, including any trade mark(s), copyrights which Wade has, as set forth on Schedule A attached hereto, and all multimedia assets that Wade owns or has right to use (collectively, the ""Wade Image"") solely for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory as follows:']","['For a period of six (6) months at the end of the Term (the ""Sell-off Period""); provided that the Agreement was not terminated by Wade as permitted herein, Naked will have the right to continue to sell the Wade Products (defined below) for which orders have already been placed at the end of the Term on the terms and conditions herein.']"
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,MASTER FRANCHISE AGREEMENT,"['Franchisor', 'Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company', 'Franchisee']","['20t h day of November, 2018']",11/20/18,[],New York,"['Except as provided in the next sentence, the license granted herein shall be exclusive.', '""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor\'s entertainment centers already set up as of the Effective Date in the Territory. The restriction contained in this Agreement shall apply on the parties throughout the Term.', 'Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory.']",[]
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,"['each individually referred to as ""Party"" and together as ""Parties"".', 'Elephant Talk Communication Holding AG', 'T-Mobile', 'T-Mobile Netherlands B.V.', 'ELEPHANT TALK']",['18/9/2008'],9/18/08,"['At the end of *** Parties will negotiate in good faith regarding a possible extension of the Initial Term.', 'Parties can mutually agree in writing to deviate from an automatic extension of *** by extending this Agreement for a longer period than ***.', 'If no termination notice is provided, the Agreement will be automatically extended for consecutive *** periods until such time as *** termination notice is provided.']",Netherlands,[],[]
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,SERVICES AND HOSTING AGREEMENT,"['VITALIBIS INC', '-Licensee""', 'VOTOCAST, Inc.', '""VOTOCAST']",['3-14-18'],3/14/18,"['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']",California,[],[]
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,e-business Hosting Agreement,"['IBM', 'The Quantum Group Inc.', 'Customer', 'International Business Machines Corporation']",[],12-03-2008,[],New York,[],[]
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"INTELLECTUAL PROPERTY AGREEMENT, d","['HONEYWELL INTERNATIONAL INC.', 'GARRETT MOTION INC.', 'SpinCo', 'Honeywell']","['September 27, 2018']",9/27/18,[],New York,[],[]
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,SPONSORED RESEARCH AND LICENSE AGREEMENT,"['University', 'ArTara', 'ArTara, Inc.', 'The University of Iowa']","['November 28, 2018']",11/28/18,[],Iowa,"['University hereby grants to ArTara an exclusive Right of Reference to all Program Regulatory Filings by University in support of the Product.', 'University hereby grants to ArTara an exclusive license to use the Program Data solely for the Project and in Regulatory Filings in the Field in the Territory.']","['Upon termination of the Project by ArTara this Agreement will terminate subject to Section 8.3 and ArTara will reassign to University the IND if assignment thereof previously occurred pursuant to Section 4.3.', 'In the event of any termination of the Project by University, (a) University agrees to complete Phase I and II of the Project, and (b) ArTara will continue to provide annual funding until the completion of Phase II.']"
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,COMMERCIALIZATION AND LICENSE AGREEMENT,"['Vyera', 'CytoDyn Inc.', 'Vyera Pharmaceuticals, LLC', 'CytoDyn', 'CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""']","['December 17, 2019']",12/17/19,[],New York,"['In the event that such assignment would be unlawful, Vyera shall, and hereby does, grant to CytoDyn an exclusive, irrevocable, worldwide, sublicensable (including through multiple tiers), transferrable (without consent) royalty free license to any and all right, title and/or interest that it may have in or to an Invention.', ""Without limiting the foregoing, Vyera shall have the exclusive right and responsibility throughout the Territory for the following: (a) receiving and accepting orders for the Licensed Product from customers; (b) distributing the Licensed Product to customers; (c) controlling invoicing and collection of accounts receivable for Licensed Product sales; (d) recording Licensed Product sales in its books of account for sales (in accordance with Vyera's accounting standards consistently applied (currently GAAP)); (e) subject to Section 5.5, determining pricing for the Licensed Product and all aspects of the promotion (including promotional materials) to be used in Commercializing Licensed Products; (f) negotiating with Third Parties, including without limitation, payors, pharmacy benefit managers and distributors, with respect to sales and distribution of Licensed Product; and (g) paying all rebates, chargebacks and other amounts due to customers in respect of Licensed Products (it being understood that all such amounts shall be deducted in calculating Net Sales)."", 'Vyera shall purchase all of its requirements for supply of Licensed Product exclusively from CytoDyn in accordance with the terms and conditions of the Supply Agreement.', 'CytoDyn hereby grants to Vyera, and Vyera hereby accepts, an exclusive royalty-bearing license (or sublicense, as the case may be), under the CytoDyn Patents, the CytoDyn Know-How and the Inventions (if any) solely to Commercialize, use, have used, offer for sale and sell Licensed Products in the Field in the Territory.']","['In the event of a termination by Vyera under Section 11.2, the following terms shall apply: (i) at CytoDyn\'s request, the Parties will negotiate in good faith a transition services agreement (the ""Transition Services Agreement""), under which Vyera will provide certain Commercialization services to CytoDyn in connection with CytoDyn efforts to Commercialize the Licensed Product in the Field in the Territory; (ii) the services to be provided by Vyera pursuant to the Transition Services Agreement (the ""Transition Services"") will be negotiated in good faith taking into account (A) the activities undertaken by Vyera in connection with the Commercialization of Licensed Product during the Term and (B) Vyera\'s then-existing resources and capabilities (it being understood and agreed that Vyera shall not (x) be required to hire any new employees or enter into any new agreements with Third Parties in order to provide the Transition Services or (y) terminate any employee or agreement the primary purpose of which is to circumvent its obligations to provide the Transition Services); (iii) the Transition Services Agreement will require Vyera to provide Transition Services for a period of up to six (6) months from the effective date of termination; provided that CytoDyn will have the ability to terminate Transition Services on a service-by-service basis as they are transitioned; and (iv) Transition Services will be reimbursed at Vyera\'s actual cost plus ten percent (10%) by CytoDyn. (v) At CytoDyn\'s reasonable request and subject to the terms of the applicable agreement, Vyera will use its reasonable best efforts to assign to CytoDyn any Third Party agreements that relate to the Transition Services matters solely for Licensed Product in the Territory in the Field.']"
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,"['Virtuoso Surgical, Inc.', 'The Johns Hopkins University', 'Company', 'JHU']","['May 3, 2016']",05-11-2016,[],Maryland,[],[]
